"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
28834,179,"POL","Poland",4,"Kuyavian-Pomeranian",95,"Wloclawek City","","Leslau","Powiat","City"
28835,179,"POL","Poland",4,"Kuyavian-Pomeranian",96,"Wloclawek","","Powiat Wloclawski","Powiat","County"
28836,179,"POL","Poland",5,"Lesser Poland",97,"Bochnia","","Powiat Bochenski","Powiat","County"
28837,179,"POL","Poland",5,"Lesser Poland",98,"Brzesko|Brzeg","","Powiat Brzeski","Powiat","County"
28838,179,"POL","Poland",5,"Lesser Poland",99,"Chrzanów","","Powiat Chrzanowski","Powiat","County"
28839,179,"POL","Poland",5,"Lesser Poland",100,"Dabrowa","","Powiat Dabrowski","Powiat","County"
28840,179,"POL","Poland",5,"Lesser Poland",101,"Gorlice","","Powiat Gorlicki","Powiat","County"
28841,179,"POL","Poland",5,"Lesser Poland",102,"Kraków City","","Krakau|Krakuf","Powiat","City"
28842,179,"POL","Poland",5,"Lesser Poland",103,"Kraków","","Powiat Krakowski","Powiat","County"
28843,179,"POL","Poland",5,"Lesser Poland",104,"Limanowa","","Powiat Limanowski","Powiat","County"
28844,179,"POL","Poland",6,"Lower Silesian",126,"Jelenia Góra City","","Hirschberg im Riesengebirge","Powiat","City"
28845,179,"POL","Poland",6,"Lower Silesian",127,"Jelenia Góra","","Powiat Jeleniogórski","Powiat","County"
28846,179,"POL","Poland",6,"Lower Silesian",128,"Klodzko","","Powiat Klodzki","Powiat","County"
28847,179,"POL","Poland",6,"Lower Silesian",129,"Kamienna","","Powiat Kamiennogórski","Powiat","County"
28848,179,"POL","Poland",6,"Lower Silesian",130,"Legnica","","Powiat Legnicki","Powiat","County"
28849,179,"POL","Poland",6,"Lower Silesian",131,"Luban","","Powiat Lubanski","Powiat","County"
28850,179,"POL","Poland",6,"Lower Silesian",132,"Lubin","","Powiat Lubinski","Powiat","County"
28851,179,"POL","Poland",6,"Lower Silesian",133,"Lwówek Slaski","","Powiat Lwówecki","Powiat","County"
28852,179,"POL","Poland",6,"Lower Silesian",134,"Milicz","","Powiat Milicki","Powiat","County"
28853,179,"POL","Poland",6,"Lower Silesian",135,"Olawa","","Powiat Olawski","Powiat","County"
28854,179,"POL","Poland",6,"Lower Silesian",136,"Olesnica","","Powiat Olesnicki","Powiat","County"
28855,179,"POL","Poland",6,"Lower Silesian",137,"Polkowice","","Powiat Polkowicki","Powiat","County"
28856,179,"POL","Poland",6,"Lower Silesian",138,"Strzelin","","Powiat Strzelinski","Powiat","County"
28857,179,"POL","Poland",6,"Lower Silesian",139,"Trzebnica","","Powiat Trzebnicki","Powiat","County"
28858,179,"POL","Poland",6,"Lower Silesian",140,"Walbrzych","","Powiat Walbrzyski","Powiat","County"
28859,179,"POL","Poland",6,"Lower Silesian",141,"Wolów","","Powiat Wolowski","Powiat","County"
28860,179,"POL","Poland",6,"Lower Silesian",142,"Wroclaw","","Powiat Wroclawski","Powiat","County"
28861,179,"POL","Poland",6,"Lower Silesian",143,"Zabkowice","","Powiat Zabkowicki","Powiat","County"
28862,179,"POL","Poland",6,"Lower Silesian",144,"Zlotoryja","","Powiat Zlotoryjski","Powiat","County"
28863,179,"POL","Poland",6,"Lower Silesian",145,"Zgorzelec","","Powiat Zgorzelecki","Powiat","County"
28864,179,"POL","Poland",7,"Lublin",146,"Leczna","","Powiat Leczynski","Powiat","County"
28865,179,"POL","Poland",7,"Lublin",147,"Luków","","Powiat Lukowski","Powiat","County"
28866,179,"POL","Poland",7,"Lublin",148,"Swidnik","","Powiat Swidnicki","Powiat","County"
28867,179,"POL","Poland",7,"Lublin",149,"Bilgoraj","","Powiat Bilgorajski","Powiat","County"
28868,179,"POL","Poland",7,"Lublin",150,"Biala Podlaska City","","","Powiat","City"
28869,179,"POL","Poland",7,"Lublin",151,"Biala Podlaska","","Powiat Bialski","Powiat","County"
28870,179,"POL","Poland",7,"Lublin",152,"Chelm City","","Kholm","Powiat","City"
28871,179,"POL","Poland",7,"Lublin",153,"Chelm","","Powiat Chelmski","Powiat","County"
28872,179,"POL","Poland",7,"Lublin",154,"Hrubieszów","","Powiat Hrubieszowski","Powiat","County"
28873,179,"POL","Poland",7,"Lublin",155,"Janów","","Powiat Janowski","Powiat","County"
28874,179,"POL","Poland",7,"Lublin",156,"Krasnik","","Powiat Krasnicki","Powiat","County"
28875,179,"POL","Poland",7,"Lublin",157,"Krasnystaw","","Powiat Krasnostawski","Powiat","County"
28876,179,"POL","Poland",7,"Lublin",158,"Lubartów","","Powiat Lubartowski","Powiat","County"
28877,179,"POL","Poland",7,"Lublin",159,"Lublin City","","","Powiat","City"
28878,179,"POL","Poland",7,"Lublin",160,"Lublin","","Powiat Lubelski","Powiat","County"
28879,179,"POL","Poland",7,"Lublin",161,"Opole Lubelskie","","Powiat Opolski","Powiat","County"
28880,179,"POL","Poland",7,"Lublin",162,"Parczew","","Powiat Parczewski","Powiat","County"
28881,179,"POL","Poland",7,"Lublin",163,"Pulawy","","Powiat Pulawski","Powiat","County"
28882,179,"POL","Poland",7,"Lublin",164,"Radzyn","","Powiat Radzynski","Powiat","County"
28883,179,"POL","Poland",7,"Lublin",165,"Ryki","","Powiat Rycki","Powiat","County"
28884,179,"POL","Poland",7,"Lublin",166,"Tomaszów","","Powiat Tomaszowski","Powiat","County"
28885,179,"POL","Poland",7,"Lublin",167,"Wlodawa","","Powiat Wlodawski","Powiat","County"
28886,179,"POL","Poland",7,"Lublin",168,"Zamosc City","","","Powiat","City"
28887,179,"POL","Poland",7,"Lublin",169,"Zamosc","","Powiat Zamojski","Powiat","County"
28888,179,"POL","Poland",8,"Lubusz",170,"Zagan","","Powiat Zaganski","Powiat","County"
28889,179,"POL","Poland",8,"Lubusz",171,"Zary","","Powiat Zarski","Powiat","County"
28890,179,"POL","Poland",8,"Lubusz",172,"Swiebodzin","","Powiat Swiebodzinski","Powiat","County"
28891,179,"POL","Poland",8,"Lubusz",173,"Gorzów Wielkopolski","","Landsberg an der Warthe","Powiat","City"
28892,179,"POL","Poland",8,"Lubusz",174,"Gorzów","","Powiat Gorzowski","Powiat","County"
28893,179,"POL","Poland",8,"Lubusz",175,"Krosno Odrzanskie","","Powiat Krosnienski","Powiat","County"
28894,179,"POL","Poland",8,"Lubusz",176,"Miedzyrzecz","","Powiat Miedzyrzecki","Powiat","County"
28895,179,"POL","Poland",8,"Lubusz",177,"Nowa Sól","","Powiat Nowosolski","Powiat","County"
28896,179,"POL","Poland",8,"Lubusz",178,"Slubice","","Powiat Slubicki","Powiat","County"
28897,179,"POL","Poland",8,"Lubusz",179,"Strzelce-Drezdenko","","Powiat Strzelecko-drezdenecki","Powiat","County"
28898,179,"POL","Poland",8,"Lubusz",180,"Sulecin","","Powiat Sulecinski","Powiat","County"
28899,179,"POL","Poland",8,"Lubusz",181,"Wschowa","","Powiat Wschowski","Powiat","County"
28900,179,"POL","Poland",8,"Lubusz",182,"Zielona Góra","","Powiat Zielonogórski","Powiat","County"
28901,179,"POL","Poland",8,"Lubusz",183,"Zielona","","Grünberg in Schlesien","Powiat","City"
28902,179,"POL","Poland",9,"Masovian",184,"Losice","","Powiat Losicki","Powiat","County"
28903,179,"POL","Poland",9,"Masovian",185,"Zuromin","","Powiat Zurominski","Powiat","County"
28904,179,"POL","Poland",9,"Masovian",186,"Zyrardów","","Powiat Zyrardowski","Powiat","County"
28905,179,"POL","Poland",9,"Masovian",187,"Bialobrzegi","","Powiat Bialobrzeski","Powiat","County"
28906,179,"POL","Poland",9,"Masovian",188,"Ciechanów","","Powiat Ciechanowski","Powiat","County"
28907,179,"POL","Poland",9,"Masovian",189,"Garwolin","","Powiat Garwolinski","Powiat","County"
28908,179,"POL","Poland",9,"Masovian",190,"Gostynin","","Powiat Gostyninski","Powiat","County"
28909,179,"POL","Poland",9,"Masovian",191,"Grodzisk Mazowiecki","","Powiat Grodziski","Powiat","County"
28910,179,"POL","Poland",9,"Masovian",192,"Grójec","","Powiat Grójecki","Powiat","County"
28911,179,"POL","Poland",9,"Masovian",193,"Kozienice","","Powiat Kozienicki","Powiat","County"
28912,179,"POL","Poland",9,"Masovian",194,"Legionowo","","Legionowski","Powiat","County"
28913,179,"POL","Poland",9,"Masovian",195,"Lipsko","","Powiat Lipski|Lipski","Powiat","County"
28914,179,"POL","Poland",9,"Masovian",196,"Mlawa","","Powiat Mlawski","Powiat","County"
28915,179,"POL","Poland",9,"Masovian",197,"Maków","","Powiat Makowski","Powiat","County"
28916,179,"POL","Poland",9,"Masovian",198,"Minsk","","Powiat Minski","Powiat","County"
28917,179,"POL","Poland",9,"Masovian",199,"Nowy Dwór Mazowiecki","","Powiat Nowodworski","Powiat","County"
28918,179,"POL","Poland",9,"Masovian",200,"Ostroleka City","","","Powiat","City"
28919,179,"POL","Poland",9,"Masovian",201,"Ostroleka","","Powiat Ostrolecki","Powiat","County"
28920,179,"POL","Poland",9,"Masovian",202,"Ostrów Mazowiecka","","Powiat Ostrowski","Powiat","County"
28921,179,"POL","Poland",9,"Masovian",203,"Otwock","","Powiat Otwocki","Powiat","County"
28922,179,"POL","Poland",9,"Masovian",204,"Plonsk","","Powiat Plonski","Powiat","County"
28923,179,"POL","Poland",9,"Masovian",205,"Plock City","","","Powiat","City"
28924,179,"POL","Poland",9,"Masovian",206,"Plock","","Powiat Plocki","Powiat","County"
28925,179,"POL","Poland",9,"Masovian",207,"Piaseczno","","Powiat Piaseczynski","Powiat","County"
28926,179,"POL","Poland",9,"Masovian",208,"Pruszków","","Powiat Pruszkowski","Powiat","County"
28927,179,"POL","Poland",9,"Masovian",209,"Przasnysz","","Powiat Przasnyski","Powiat","County"
28928,179,"POL","Poland",9,"Masovian",210,"Przysucha","","Powiat Przysuski","Powiat","County"
28929,179,"POL","Poland",9,"Masovian",211,"Pultusk","","Powiat Pultuski","Powiat","County"
28930,179,"POL","Poland",9,"Masovian",212,"Radom City","","","Powiat","City"
28931,179,"POL","Poland",9,"Masovian",213,"Radom","","Powiat Radomski","Powiat","County"
28932,179,"POL","Poland",9,"Masovian",214,"Siedlce City","","Shedlits","Powiat","City"
28933,179,"POL","Poland",9,"Masovian",215,"Siedlce","","Powiat Siedlecki","Powiat","County"
28934,179,"POL","Poland",9,"Masovian",216,"Sierpc","","Powiat Sierpecki","Powiat","County"
28935,179,"POL","Poland",9,"Masovian",217,"Sochaczew","","Powiat Sochaczewski","Powiat","County"
28936,179,"POL","Poland",9,"Masovian",218,"Sokolów","","Powiat Sokolowski","Powiat","County"
28937,179,"POL","Poland",9,"Masovian",219,"Szydlowiec","","Powiat Szydlowiecki","Powiat","County"
28938,179,"POL","Poland",9,"Masovian",220,"Wegrów","","Powiat Wegrowski","Powiat","County"
28939,179,"POL","Poland",9,"Masovian",221,"Warsaw West","","Warszawski zachodni","Powiat","County"
28940,179,"POL","Poland",9,"Masovian",222,"Warsaw","","Powiat Warszawa","Powiat","City"
28941,179,"POL","Poland",9,"Masovian",223,"Wolomin","","Powiat Wolominski","Powiat","County"
28942,179,"POL","Poland",9,"Masovian",224,"Wyszków","","Powiat Wyszkowski","Powiat","County"
28943,179,"POL","Poland",9,"Masovian",225,"Zwolen","","Powiat Zwolenski","Powiat","County"
28944,179,"POL","Poland",10,"Opole",226,"Brzeg","","Powiat Brzeski","Powiat","County"
28945,179,"POL","Poland",10,"Opole",227,"Glubczyce","","Powiat Glubczycki","Powiat","County"
28946,179,"POL","Poland",10,"Opole",228,"Kedzierzyn-Kozle","","Powiat Kedzierzynsko-kozielski","Powiat","County"
28947,179,"POL","Poland",10,"Opole",229,"Kluczbork","","Powiat Kluczborski","Powiat","County"
28948,179,"POL","Poland",10,"Opole",230,"Krapkowice","","Powiat Krapkowicki","Powiat","County"
28949,179,"POL","Poland",10,"Opole",231,"Namyslów","","Powiat Namyslowski","Powiat","County"
28950,179,"POL","Poland",10,"Opole",232,"Nysa","","Powiat Nyski","Powiat","County"
28951,179,"POL","Poland",10,"Opole",233,"Olesno","","Powiat Oleski","Powiat","County"
28952,179,"POL","Poland",10,"Opole",234,"Ople","","Oppeln","Powiat","City"
28953,179,"POL","Poland",10,"Opole",235,"Opole","","Powiat Opolski","Powiat","County"
28954,179,"POL","Poland",10,"Opole",236,"Prudnik","","Powiat Prudnicki","Powiat","County"
28955,179,"POL","Poland",10,"Opole",237,"Strzelce","","Powiat Strzelecki","Powiat","County"
28956,179,"POL","Poland",11,"Podlachian",238,"Lomza City","","","Powiat","City"
28957,179,"POL","Poland",12,"Pomeranian",261,"Kartuzy","","Powiat Kartuski","Powiat","County"
28958,179,"POL","Poland",12,"Pomeranian",262,"Koscierzyna","","Powiat Koscierski","Powiat","County"
28959,179,"POL","Poland",12,"Pomeranian",263,"Kwidzyn","","Powiat Kwidzynski","Powiat","County"
28960,179,"POL","Poland",12,"Pomeranian",264,"Lebork","","Powiat Leborski","Powiat","County"
28961,179,"POL","Poland",12,"Pomeranian",265,"Malbork","","Powiat Malborski","Powiat","County"
28962,179,"POL","Poland",12,"Pomeranian",266,"Nowy Dwór Gdanski","","Powiat Nowodworski","Powiat","County"
28963,179,"POL","Poland",12,"Pomeranian",267,"Puck","","Powiat Pucki","Powiat","County"
28964,179,"POL","Poland",12,"Pomeranian",268,"Slupsk City","","Stolp in Pommern|Stolpe","Powiat","City"
28965,179,"POL","Poland",12,"Pomeranian",269,"Slupsk","","Powiat Slupski","Powiat","County"
28966,179,"POL","Poland",12,"Pomeranian",270,"Sopot","","Zoppot|Sopòt","Powiat","City"
28967,179,"POL","Poland",12,"Pomeranian",271,"Starogard","","Powiat Starogardzki","Powiat","County"
28968,179,"POL","Poland",12,"Pomeranian",272,"Sztum","","Powiat Sztumski","Powiat","County"
28969,179,"POL","Poland",12,"Pomeranian",273,"Tczew","","Powiat Tczewski","Powiat","County"
28970,179,"POL","Poland",12,"Pomeranian",274,"Wejherowo","","Powiat Wejherowski","Powiat","County"
28971,179,"POL","Poland",13,"Silesian",275,"Zory","","Sohrau","Powiat","City"
28972,179,"POL","Poland",13,"Silesian",276,"Swietochlowice","","Schwientochlowitz|Schwingen","Powiat","City"
28973,179,"POL","Poland",13,"Silesian",277,"Zywiec","","Powiat Zywiecki","Powiat","County"
28974,179,"POL","Poland",13,"Silesian",278,"Bedzin","","Powiat Bedzinski","Powiat","County"
28975,179,"POL","Poland",13,"Silesian",279,"Bielsko-Biala","","Bílsko-Belá|Bielitz-Biala","Powiat","City"
28976,179,"POL","Poland",13,"Silesian",280,"Bielsko","","Powiat Bielski","Powiat","County"
28977,179,"POL","Poland",13,"Silesian",281,"Bierun-Ledziny","","Powiat Bierunsko-ledzinski","Powiat","County"
28978,179,"POL","Poland",13,"Silesian",282,"Bytom","","Beuthen","Powiat","City"
28979,179,"POL","Poland",11,"Podlachian",239,"Lomza","","Powiat Lomzynski","Powiat","County"
28980,179,"POL","Poland",11,"Podlachian",240,"Augustów","","Powiat Augustowski","Powiat","County"
28981,179,"POL","Poland",11,"Podlachian",241,"Bialystok City","","","Powiat","City"
28982,179,"POL","Poland",11,"Podlachian",242,"Bialystok","","Powiat Bialostocki","Powiat","County"
28983,179,"POL","Poland",11,"Podlachian",243,"Bielsk","","Powiat Bielski","Powiat","County"
28984,179,"POL","Poland",11,"Podlachian",244,"Grajewo","","Powiat Grajewski","Powiat","County"
28985,179,"POL","Poland",11,"Podlachian",245,"Hajnówka","","Powiat Hajnowski","Powiat","County"
28986,179,"POL","Poland",11,"Podlachian",246,"Kolno","","Powiat Kolnenski","Powiat","County"
28987,179,"POL","Poland",11,"Podlachian",247,"Monki","","Powiat Moniecki","Powiat","County"
28988,179,"POL","Poland",11,"Podlachian",248,"Sejny","","Powiat Sejnenski","Powiat","County"
28989,179,"POL","Poland",11,"Podlachian",249,"Siemiatycze","","Powiat Siemiatycki","Powiat","County"
28990,179,"POL","Poland",11,"Podlachian",250,"Sokólka","","Powiat Sokólski","Powiat","County"
28991,179,"POL","Poland",11,"Podlachian",251,"Suwalki City","","Suvalkai|Suwalk|Suwalken","Powiat","City"
28992,179,"POL","Poland",11,"Podlachian",252,"Suwalki","","Powiat Suwalski","Powiat","County"
28993,179,"POL","Poland",11,"Podlachian",253,"Wysokie Mazowieckie","","Powiat Wysokomazowiecki","Powiat","County"
28994,179,"POL","Poland",11,"Podlachian",254,"Zambrów","","Powiat Zambrowski","Powiat","County"
28995,179,"POL","Poland",12,"Pomeranian",255,"Bytów","","Powiat Bytowski","Powiat","County"
28996,179,"POL","Poland",12,"Pomeranian",256,"Chojnice","","Powiat Chojnicki","Powiat","County"
28997,179,"POL","Poland",12,"Pomeranian",257,"Czluchów","","Powiat Czluchowski","Powiat","County"
28998,179,"POL","Poland",12,"Pomeranian",258,"Gdansk City","","Gdunsk|Gdunsk","Powiat","City"
28999,179,"POL","Poland",12,"Pomeranian",259,"Gdansk","","Powiat Gdanski","Powiat","County"
29000,179,"POL","Poland",12,"Pomeranian",260,"Gdynia","","Gdingen|Gotenhafen|Gdiniô","Powiat","City"
29001,179,"POL","Poland",13,"Silesian",283,"Chorzów","","Königshütte","Powiat","City"
29002,179,"POL","Poland",13,"Silesian",284,"Cieszyn","","Powiat Cieszynski","Powiat","County"
29003,179,"POL","Poland",13,"Silesian",285,"Czestochowa City","","Censtochová|Tschenstochau|Chenstekhov","Powiat","City"
29004,179,"POL","Poland",13,"Silesian",286,"Czestochowa","","Powiat Czestochowski","Powiat","County"
29005,179,"POL","Poland",13,"Silesian",287,"Dabrowa Górnicza","","","Powiat","City"
29006,179,"POL","Poland",13,"Silesian",288,"Gliwice City","","","Powiat","City"
29007,179,"POL","Poland",13,"Silesian",289,"Gliwice","","Powiat Gliwicki","Powiat","County"
29008,179,"POL","Poland",13,"Silesian",290,"Jastrzebie-Zdrój","","","Powiat","City"
29009,179,"POL","Poland",13,"Silesian",291,"Jaworzno","","Arnshalde|Javožno","Powiat","City"
29010,179,"POL","Poland",13,"Silesian",292,"Klobuck","","Powiat Klobucki","Powiat","County"
29011,179,"POL","Poland",13,"Silesian",293,"Katowice City","","Kattowitz|Katovice","Powiat","City"
29012,179,"POL","Poland",13,"Silesian",294,"Lubliniec","","Powiat Lubliniecki","Powiat","County"
29013,179,"POL","Poland",13,"Silesian",295,"Mikolów","","Powiat Mikolowski","Powiat","County"
29014,179,"POL","Poland",13,"Silesian",296,"Myslowice","","","Powiat","City"
29015,179,"POL","Poland",13,"Silesian",297,"Myszków","","Powiat Myszkowski","Powiat","County"
29016,179,"POL","Poland",13,"Silesian",298,"Piekary Slaskie","","Deutsch Piekar","Powiat","City"
